week	sd	avg_cff	sample_num	threshold
5	0.0000	0.0245	1	0.0066
6	0.0166	0.0396	28	0.0071
7	0.0260	0.0497	28	0.0089
8	0.0267	0.0673	17	0.0116
9	0.0258	0.0845	12	0.0131
10	0.0168	0.1144	5	0.0169
11	0.0730	0.1345	3	0.0214
12	0.0444	0.1061	8	0.0163
13	0.0208	0.0885	3	0.0131
14	0.0216	0.0886	6	0.0131
15	0.0321	0.0841	4	0.0131
16	0.0175	0.0901	5	0.0144
17	0.0135	0.0586	5	0.0110
18	0.0392	0.1052	3	0.0163
19	0.0281	0.0803	5	0.0131
20	0.0157	0.0804	3	0.0131
21	0.0025	0.1350	2	0.0214
22	0.0214	0.0744	6	0.0121
23	0.0000	0.1172	1	0.0169
24	0.0400	0.0925	6	0.0144
25	0.0402	0.1054	4	0.0163
26	0.0130	0.1304	5	0.0214
27	0.0322	0.1321	2	0.0214
28	0.0000	0.1396	1	0.0214
29	0.0000	0.2043	1	0.0250
30	0.0292	0.1988	2	0.0280
32	0.0358	0.2254	3	0.0410
33	0.0000	0.2123	1	0.0160
36	0.0000	0.3729	1	0.0190
